Fiscal Year,Grants: Grants Number,Grant Type,Grantee Name,Fiscal Sponsor,Project Title,Applicant Status,Applicant Institution Type,Applicant Arts Discipline,Type of Activity Supported,Counties Served,Number of IA Artists Engaged,Number of Non-IA Artists Engaged,Total Artists Engaged,Youth Engaged In-Person,Grant Award,Funding Returned,Grant Amount Spent,In-Kind Match,Congressional District,Senate District,House District,Cash Match,Applicant City,Applicant State,Applicant Zip,County
2015,201507,Big Yellow School Bus Grant,Holy Ghost Elementary School,Holy Family Catholic Schools,BYSB Trip to Musical Theatre Performance,Organization- Non-Profit,Elementary School,Humanities,Concert/Performance/Reading,Dubuque,0,15,15,44,$200.00,$0.00,$200.00,$0.00,1,50,100,$0.00,Dubuque,Iowa,52001-0538,Dubuque
2015,201507,Big Yellow School Bus Grant,Valley Elementary School,Valley Community School District,BYSB Trip to Children's Theater,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Fayette; Winneshiek,0,16,16,56,$200.00,$0.00,$200.00,$0.00,1,28,55,$0.00,Elgin,Iowa,52141-9701,Fayette
2015,201507,Big Yellow School Bus Grant,Johnston Elementary School,Maquoketa Valley Community School District,BYSB Trip to Theater Performance of Skippyjon Jones at Gallagher Bluedorn Center,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk; Jackson,0,36,36,65,$200.00,$0.00,$200.00,$0.00,1,48,96,$0.00,Delhi,Iowa,52223-7715,Delaware
2015,201507,Big Yellow School Bus Grant,Delhi Elementary School,Maquoketa Valley Community School District,BYSB Trip to Theater Performance of Skippyjon Jones at Gallagher Bluedorn Center,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk; Jackson,0,36,36,125,$200.00,$0.00,$200.00,$0.00,1,48,96,$0.00,Delhi,Iowa,52223-7715,Delaware
2015,201507,Big Yellow School Bus Grant,Earlville Elementary School,Maquoketa Valley Community School District,BYSB Trip to Theater Performance of Skippyjon Jones at Gallagher Bluedorn Center,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk; Jackson,0,36,36,100,$200.00,$0.00,$200.00,$0.00,1,48,96,$0.00,Delhi,Iowa,52223-7715,Delaware
2015,201507,Big Yellow School Bus Grant,Blakesburg Elementary School,Eddyville-Blakesburg-Fremont Community School,BYSB Trip to Scrap Metal Concert,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Polk; Wapello,0,6,6,120,$200.00,$0.00,$200.00,$0.00,2,40,80,$0.00,Eddyville,Iowa,52553,Wapello
2015,201507,Big Yellow School Bus Grant,Humboldt High School,Humboldt Community School District,BYSB Trip to Scrap Metal Concert,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Polk; Humbolt,0,10,10,40,$200.00,$0.00,$200.00,$0.00,4,5,10,$0.00,Humboldt,Iowa,50548-1878,Humboldt
2015,201507,Big Yellow School Bus Grant,Eisenhower Elementary School,Ottumwa Community School District,BYSB Trip to Art Exhibit at State Capitol,Government- Municipal,Elementary School,Humanities,Building Public Awareness,Polk; Wapello,0,10,10,34,$200.00,$0.00,$200.00,$0.00,2,41,81,$0.00,Ottumwa,Iowa,52501,Wapello
2015,201507,Big Yellow School Bus Grant,East Sac County Elementary,East Sac County Community School District,BYSB Trip to Theatreworks USA,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Sac; Story,0,10,10,58,$200.00,$0.00,$200.00,$0.00,4,6,11,$0.00,Lake View,Iowa,51450,Sac
2015,201507,Big Yellow School Bus Grant,Reinbeck Elementary School,Gladbrook Reinbeck Community School District,BYSB Trip to Theater Performance of Skippyjon Jones at Gallagher Bluedorn Center,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk; Grundy,0,10,10,240,$200.00,$0.00,$200.00,$0.00,3,25,50,$0.00,Reinbeck,Iowa,50669,Grundy
2015,201507,Big Yellow School Bus Grant,Aplington Elementary,Aplington-parkersburg Community School District,BYSB Trip to Performance of the Lion King,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Butler; Polk,0,5,5,16,$200.00,$0.00,$200.00,$0.00,1,25,50,$0.00,Parkersburg,Iowa,50665-2039,Butler
2015,201507,Big Yellow School Bus Grant,Woodrow Wilson Elementary School,Newton Community School District,BYSB Trip to Center for Art and Artists,Government- Municipal,Elementary School,Humanities,Arts Instruction,Jasper,0,8,8,130,$200.00,$0.00,$200.00,$0.00,3,15,29,$0.00,Newton,Iowa,50208,Jasper
